timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324977255257148,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,253233608,1763324977
1763324977352191976,0.800000011920929,13.399999618530273,[134   4   0   0   0   0   0   0],5,257,0,Voltage/Current,351062525,1763324977
1763324977477243878,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,476386909,1763324977
1763324977549875686,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,549153631,1763324977
1763324977652303336,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,651690434,1763324977
1763324977756055094,1.0,13.399999618530273,[134   5   0   0   0   0   0   0],5,257,0,Voltage/Current,754802282,1763324977
1763324977850138439,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,847830096,1763324977
1763324977952704234,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,952180485,1763324977
1763324978061049893,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,60302174,1763324978
1763324978156790503,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,156122976,1763324978
1763324978257932476,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,257118805,1763324978
1763324978350253565,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,349240371,1763324978
1763324978475414140,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,473957390,1763324978
1763324978557050516,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,556204492,1763324978
1763324978651604490,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,650804322,1763324978
1763324978753462695,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,753052291,1763324978
1763324978856780818,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,856082987,1763324978
1763324978962442964,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,960376544,1763324978
1763324979052158587,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,51689398,1763324979
1763324979156079180,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,154893985,1763324979
1763324979259773308,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,258947476,1763324979
1763324979352747107,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,351781658,1763324979
1763324979478430344,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,477313917,1763324979
1763324979561957235,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,560839049,1763324979
1763324979654442454,1.399999976158142,13.399999618530273,[134   7   0   0   0   0   0   0],5,257,0,Voltage/Current,653607790,1763324979
1763324979757548032,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,756688247,1763324979
1763324979859210939,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,859030009,1763324979
1763324979962380837,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,961495869,1763324979
1763324980054615750,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,54175778,1763324980
1763324980158994525,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,158087316,1763324980
1763324980260410135,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,259781296,1763324980
1763324980363524769,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,363136829,1763324980
1763324980489867373,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,489399465,1763324980
1763324980564306401,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,561835145,1763324980
1763324980666144895,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,665525785,1763324980
1763324980759469866,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,758693507,1763324980
1763324980864511751,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,862042607,1763324980
1763324980965528189,1.2000000476837158,13.399999618530273,[134   6   0   0   0   0   0   0],5,257,0,Voltage/Current,965307003,1763324980
